name,url,position,number,team,team_url
Caldeira,https://women.volleybox.net/tr/hilma-caldeira-p4399,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Diken,https://women.volleybox.net/tr/meliha-diken-p2754,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Güneyligil,https://women.volleybox.net/tr/nihan-guneyligil-p3157,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Avcı,https://women.volleybox.net/tr/ergul-avc-p1703,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Celis,https://women.volleybox.net/tr/nancy-celis-p23594,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Uslupehlivan Ünver,https://women.volleybox.net/tr/polen-uslupehlivan-unver-p2755,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Thompson,https://women.volleybox.net/tr/jordan-thompson-p23201,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Yılmaz,https://women.volleybox.net/tr/gozde-ylmaz-p2641,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Göllü,https://women.volleybox.net/tr/arzu-gollu-p24054,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Vargas,https://women.volleybox.net/tr/annerys-vargas-p2424,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Boz,https://women.volleybox.net/tr/meryem-boz-p1708,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Yarar,https://women.volleybox.net/tr/nedime-elif-yarar-p2448,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Komisarova,https://women.volleybox.net/tr/iryna-komisarova-p17116,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Mert Üçoklar,https://women.volleybox.net/tr/bahar-mert-ucoklar-p5187,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Özbek Ayhan,https://women.volleybox.net/tr/aysun-ozbek-ayhan-p3165,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Di Iulio,https://women.volleybox.net/tr/chiara-di-iulio-p1479,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Karaağaç,https://women.volleybox.net/tr/nilay-karaagac-p1720,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Vasileva-Atanasijević,https://women.volleybox.net/tr/elitsa-vasileva-atanasijevic-p1310,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Esepaşa Güçlü,https://women.volleybox.net/tr/necla-esepasa-guclu-p21337,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Krivosheeva,https://women.volleybox.net/tr/olga-krivosheeva-p24862,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Rističević,https://women.volleybox.net/tr/bianka-busa-p3913,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Hakyemez,https://women.volleybox.net/tr/deniz-hakyemez-p2806,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Stam-Pilon,https://women.volleybox.net/tr/debby-stam-pilon-p1541,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
Kırdar Kinasts,https://women.volleybox.net/tr/ozge-krdar-kinasts-p1715,,,VakıfBank#4,https://women.volleybox.net/tr/vakfbank-t2309
